Date (MM/DD/YYYY),Time (HH:MM:SS),Turbidity FNU,TSS mg/L
15/12/2020,15:33:00,35,148
15/12/2020,15:38:00,36,147
15/12/2020,15:43:00,36,148
15/12/2020,15:48:00,36,149
15/12/2020,15:53:00,36,149
15/12/2020,15:58:00,37,149
15/12/2020,16:03:00,37,150
15/12/2020,16:08:00,37,151
15/12/2020,16:13:00,37,150
15/12/2020,16:18:00,38,150
15/12/2020,16:23:00,38,150
15/12/2020,16:28:00,38,150
15/12/2020,16:33:00,38,151
15/12/2020,16:38:00,38,151
15/12/2020,16:43:00,38,152
15/12/2020,16:48:00,38,151
15/12/2020,16:53:00,39,152
15/12/2020,16:58:00,39,152
15/12/2020,17:03:00,39,153
15/12/2020,17:08:00,40,153
15/12/2020,17:13:00,39,152
15/12/2020,17:18:00,39,153
15/12/2020,17:23:00,39,153
15/12/2020,17:28:00,40,153
15/12/2020,17:33:00,40,154
15/12/2020,17:38:00,40,153
15/12/2020,17:43:00,41,154
15/12/2020,17:48:00,41,154
15/12/2020,17:53:00,40,155
15/12/2020,17:58:00,41,153
15/12/2020,18:03:00,41,152
15/12/2020,18:08:00,41,153
15/12/2020,18:13:00,41,153
15/12/2020,18:18:00,41,153
15/12/2020,18:23:00,41,152
15/12/2020,18:28:00,41,153
15/12/2020,18:33:00,42,153
15/12/2020,18:38:00,42,153
15/12/2020,18:43:00,42,153
15/12/2020,18:48:00,42,153
15/12/2020,18:53:00,42,153
15/12/2020,18:58:00,42,153
15/12/2020,19:03:00,42,153
15/12/2020,19:08:00,42,154
15/12/2020,19:13:00,42,154
15/12/2020,19:18:00,43,154
15/12/2020,19:23:00,43,153
15/12/2020,19:28:00,43,154
15/12/2020,19:33:00,43,154
15/12/2020,19:38:00,43,155
15/12/2020,19:43:00,43,154
15/12/2020,19:48:00,44,154
15/12/2020,19:53:00,44,154
15/12/2020,19:58:00,43,155
15/12/2020,20:03:00,44,154
15/12/2020,20:08:00,44,154
15/12/2020,20:13:00,44,154
15/12/2020,20:18:00,44,155
15/12/2020,20:23:00,44,155
15/12/2020,20:28:00,44,155
15/12/2020,20:33:00,44,155
15/12/2020,20:38:00,44,155
15/12/2020,20:43:00,44,155
15/12/2020,20:48:00,45,155
15/12/2020,20:53:00,45,155
15/12/2020,20:58:00,45,155
15/12/2020,21:03:00,45,155
15/12/2020,21:08:00,45,155
15/12/2020,21:13:00,45,155
15/12/2020,21:18:00,45,156
15/12/2020,21:23:00,45,156
15/12/2020,21:28:00,45,156
15/12/2020,21:33:00,45,156
15/12/2020,21:38:00,45,156
15/12/2020,21:43:00,45,156
15/12/2020,21:48:00,45,156
15/12/2020,21:53:00,46,156
15/12/2020,21:58:00,45,157
15/12/2020,22:03:00,45,157
15/12/2020,22:08:00,45,156
15/12/2020,22:13:00,46,156
15/12/2020,22:18:00,46,156
15/12/2020,22:23:00,45,156
15/12/2020,22:28:00,46,156
15/12/2020,22:33:00,46,156
15/12/2020,22:38:00,46,156
15/12/2020,22:43:00,46,156
15/12/2020,22:48:00,46,157
15/12/2020,22:53:00,46,156
15/12/2020,22:58:00,46,157
15/12/2020,23:03:00,46,157
15/12/2020,23:08:00,46,156
15/12/2020,23:13:00,46,157
15/12/2020,23:18:00,46,157
15/12/2020,23:23:00,46,156
15/12/2020,23:28:00,46,157
15/12/2020,23:33:00,46,157
15/12/2020,23:38:00,46,157
15/12/2020,23:43:00,46,157
15/12/2020,23:48:00,46,157
15/12/2020,23:53:00,46,157
15/12/2020,23:58:00,46,157
16/12/2020,0:03:00,46,157
16/12/2020,0:08:00,46,157
16/12/2020,0:13:00,46,157
16/12/2020,0:18:00,47,157
16/12/2020,0:23:00,47,157
16/12/2020,0:28:00,47,156
16/12/2020,0:33:00,47,157
16/12/2020,0:38:00,47,157
16/12/2020,0:43:00,47,157
16/12/2020,0:48:00,47,157
16/12/2020,0:53:00,47,157
16/12/2020,0:58:00,47,157
16/12/2020,1:03:00,47,157
16/12/2020,1:08:00,47,157
16/12/2020,1:13:00,47,157
16/12/2020,1:18:00,47,157
16/12/2020,1:23:00,47,157
16/12/2020,1:28:00,47,158
16/12/2020,1:33:00,47,158
16/12/2020,1:38:00,47,157
16/12/2020,1:43:00,47,157
16/12/2020,1:48:00,47,158
16/12/2020,1:53:00,47,157
16/12/2020,1:58:00,47,157
16/12/2020,2:03:00,47,157
16/12/2020,2:08:00,47,157
16/12/2020,2:13:00,47,157
16/12/2020,2:18:00,47,157
16/12/2020,2:23:00,47,158
16/12/2020,2:28:00,47,157
16/12/2020,2:33:00,47,157
16/12/2020,2:38:00,47,157
16/12/2020,2:43:00,48,157
16/12/2020,2:48:00,48,157
16/12/2020,2:53:00,48,157
16/12/2020,2:58:00,48,157
16/12/2020,3:03:00,47,157
16/12/2020,3:08:00,48,157
16/12/2020,3:13:00,48,157
16/12/2020,3:18:00,48,157
16/12/2020,3:23:00,48,157
16/12/2020,3:28:00,48,157
16/12/2020,3:33:00,48,157
16/12/2020,3:38:00,48,157
16/12/2020,3:43:00,48,157
16/12/2020,3:48:00,48,157
16/12/2020,3:53:00,48,158
16/12/2020,3:58:00,48,158
16/12/2020,4:03:00,48,157
16/12/2020,4:08:00,48,157
16/12/2020,4:13:00,48,157
16/12/2020,4:18:00,48,157
16/12/2020,4:23:00,48,157
16/12/2020,4:28:00,48,157
16/12/2020,4:33:00,48,158
16/12/2020,4:38:00,48,158
16/12/2020,4:43:00,48,157
16/12/2020,4:48:00,48,157
16/12/2020,4:53:00,48,157
16/12/2020,4:58:00,48,158
16/12/2020,5:03:00,48,157
16/12/2020,5:08:00,48,157
16/12/2020,5:13:00,48,157
16/12/2020,5:18:00,48,157
16/12/2020,5:23:00,48,158
16/12/2020,5:28:00,48,158
16/12/2020,5:33:00,48,158
16/12/2020,5:38:00,48,157
16/12/2020,5:43:00,48,157
16/12/2020,5:48:00,48,158
16/12/2020,5:53:00,48,157
16/12/2020,5:58:00,48,157
16/12/2020,6:03:00,48,157
16/12/2020,6:08:00,48,157
16/12/2020,6:13:00,48,157
16/12/2020,6:18:00,49,158
16/12/2020,6:23:00,48,158
16/12/2020,6:28:00,49,157
16/12/2020,6:33:00,48,158
16/12/2020,6:38:00,48,157
16/12/2020,6:43:00,49,157
16/12/2020,6:48:00,49,157
16/12/2020,6:53:00,49,157
16/12/2020,6:58:00,49,157
16/12/2020,7:03:00,49,158
16/12/2020,7:08:00,48,158
16/12/2020,7:13:00,49,158
16/12/2020,7:18:00,48,158
16/12/2020,7:23:00,49,158
16/12/2020,7:28:00,49,158
16/12/2020,7:33:00,49,158
16/12/2020,7:38:00,49,158
16/12/2020,7:43:00,48,158
16/12/2020,7:48:00,49,157
16/12/2020,7:53:00,49,158
16/12/2020,7:58:00,49,158
16/12/2020,8:03:00,49,158
16/12/2020,8:08:00,49,157
16/12/2020,8:13:00,49,157
16/12/2020,8:18:00,49,158
16/12/2020,8:23:00,49,158
16/12/2020,8:28:00,49,157
16/12/2020,8:33:00,49,158
16/12/2020,8:38:00,49,158
16/12/2020,8:43:00,49,158
16/12/2020,8:48:00,49,157
16/12/2020,8:53:00,49,158
16/12/2020,8:58:00,49,158
16/12/2020,9:03:00,49,158
16/12/2020,9:08:00,49,158
16/12/2020,9:13:00,49,158
16/12/2020,9:18:00,49,157
16/12/2020,9:23:00,49,157
16/12/2020,9:28:00,49,157
16/12/2020,9:33:00,49,157
16/12/2020,9:38:00,49,157
16/12/2020,9:43:00,49,157
16/12/2020,9:48:00,49,157
16/12/2020,9:53:00,49,157
16/12/2020,9:58:00,49,157
16/12/2020,10:03:00,49,157
16/12/2020,10:08:00,49,157
16/12/2020,10:13:00,49,157
16/12/2020,10:18:00,49,157
16/12/2020,10:23:00,49,157
16/12/2020,10:28:00,49,157
16/12/2020,10:33:00,49,157
16/12/2020,10:38:00,49,157
16/12/2020,10:43:00,49,157
16/12/2020,10:48:00,49,157
16/12/2020,10:53:00,49,158
16/12/2020,10:58:00,49,157
16/12/2020,11:03:00,49,157
16/12/2020,11:08:00,49,157
16/12/2020,11:13:00,49,157
16/12/2020,11:18:00,48,157
16/12/2020,11:23:00,49,157
16/12/2020,11:28:00,49,158
16/12/2020,11:33:00,49,157
16/12/2020,11:38:00,49,158
16/12/2020,11:43:00,48,157
16/12/2020,11:48:00,48,157
16/12/2020,11:53:00,49,157
16/12/2020,11:58:00,49,157
16/12/2020,12:03:00,48,157
16/12/2020,12:08:00,48,157
16/12/2020,12:13:00,48,158
16/12/2020,12:18:00,49,157
16/12/2020,12:23:00,48,157
16/12/2020,12:28:00,48,157
16/12/2020,12:33:00,49,158
16/12/2020,12:38:00,48,157
16/12/2020,12:43:00,48,158
16/12/2020,12:48:00,48,158
16/12/2020,12:53:00,48,158
16/12/2020,12:58:00,48,157
16/12/2020,13:03:00,48,157
16/12/2020,13:08:00,48,157
16/12/2020,13:13:00,48,157
16/12/2020,13:18:00,48,157
16/12/2020,13:23:00,49,158
16/12/2020,13:28:00,48,157
16/12/2020,13:33:00,48,158
16/12/2020,13:38:00,48,157
16/12/2020,13:43:00,48,157
16/12/2020,13:48:00,48,157
16/12/2020,13:53:00,48,158
16/12/2020,13:58:00,48,157
16/12/2020,14:03:00,48,158
16/12/2020,14:08:00,48,157
16/12/2020,14:13:00,48,157
16/12/2020,14:18:00,48,157
16/12/2020,14:23:00,48,157
16/12/2020,14:28:00,48,158
16/12/2020,14:33:00,48,158
16/12/2020,14:38:00,48,158
16/12/2020,14:43:00,48,157
16/12/2020,14:48:00,47,157
16/12/2020,14:53:00,48,157
16/12/2020,14:58:00,48,158
16/12/2020,15:03:00,48,157
16/12/2020,15:08:00,48,158
16/12/2020,15:13:00,48,158
16/12/2020,15:18:00,47,157
16/12/2020,15:23:00,48,158
16/12/2020,15:28:00,47,158
16/12/2020,15:33:00,47,157
16/12/2020,15:38:00,48,158
16/12/2020,15:43:00,47,157
16/12/2020,15:48:00,48,157
16/12/2020,15:53:00,47,157
16/12/2020,15:58:00,47,157
16/12/2020,16:03:00,48,157
16/12/2020,16:08:00,48,157
16/12/2020,16:13:00,47,158
16/12/2020,16:18:00,47,157
16/12/2020,16:23:00,47,157
16/12/2020,16:28:00,47,158
16/12/2020,16:33:00,47,157
16/12/2020,16:38:00,47,157
16/12/2020,16:43:00,47,157
16/12/2020,16:48:00,47,158
16/12/2020,16:53:00,47,157
16/12/2020,16:58:00,47,157
16/12/2020,17:03:00,47,157
16/12/2020,17:08:00,48,157
16/12/2020,17:13:00,47,157
16/12/2020,17:18:00,47,158
16/12/2020,17:23:00,47,157
16/12/2020,17:28:00,47,157
16/12/2020,17:33:00,47,157
16/12/2020,17:38:00,47,157
16/12/2020,17:43:00,47,157
16/12/2020,17:48:00,47,157
16/12/2020,17:53:00,47,157
16/12/2020,17:58:00,47,157
16/12/2020,18:03:00,47,157
16/12/2020,18:08:00,47,158
16/12/2020,18:13:00,47,157
16/12/2020,18:18:00,47,157
16/12/2020,18:23:00,48,157
16/12/2020,18:28:00,47,157
16/12/2020,18:33:00,47,157
16/12/2020,18:38:00,47,157
16/12/2020,18:43:00,47,157
16/12/2020,18:48:00,47,157
16/12/2020,18:53:00,48,157
16/12/2020,18:58:00,48,157
16/12/2020,19:03:00,48,157
16/12/2020,19:08:00,50,157
16/12/2020,19:13:00,50,157
16/12/2020,19:18:00,49,157
16/12/2020,19:23:00,50,157
16/12/2020,19:28:00,50,157
16/12/2020,19:33:00,50,157
16/12/2020,19:38:00,50,157
16/12/2020,19:43:00,50,157
16/12/2020,19:48:00,50,156
16/12/2020,19:53:00,50,157
16/12/2020,19:58:00,50,157
16/12/2020,20:03:00,50,157
16/12/2020,20:08:00,50,157
16/12/2020,20:13:00,50,157
16/12/2020,20:18:00,50,156
16/12/2020,20:23:00,52,157
16/12/2020,20:28:00,52,157
16/12/2020,20:33:00,52,157
16/12/2020,20:38:00,52,157
16/12/2020,20:43:00,52,157
16/12/2020,20:48:00,52,157
16/12/2020,20:53:00,52,157
16/12/2020,20:58:00,52,157
16/12/2020,21:03:00,52,156
16/12/2020,21:08:00,52,157
16/12/2020,21:13:00,52,157
16/12/2020,21:18:00,52,156
16/12/2020,21:23:00,52,156
16/12/2020,21:28:00,52,156
16/12/2020,21:33:00,52,156
16/12/2020,21:38:00,52,156
16/12/2020,21:43:00,52,156
16/12/2020,21:48:00,52,156
16/12/2020,21:53:00,52,156
16/12/2020,21:58:00,52,157
16/12/2020,22:03:00,52,156
16/12/2020,22:08:00,52,156
16/12/2020,22:13:00,52,156
16/12/2020,22:18:00,52,156
16/12/2020,22:23:00,52,156
16/12/2020,22:28:00,53,156
16/12/2020,22:33:00,54,156
16/12/2020,22:38:00,54,156
16/12/2020,22:43:00,55,156
16/12/2020,22:48:00,55,157
16/12/2020,22:53:00,55,157
16/12/2020,22:58:00,55,156
16/12/2020,23:03:00,55,156
16/12/2020,23:08:00,55,156
16/12/2020,23:13:00,55,156
16/12/2020,23:18:00,55,156
16/12/2020,23:23:00,55,156
16/12/2020,23:28:00,55,156
16/12/2020,23:33:00,55,156
16/12/2020,23:38:00,55,156
16/12/2020,23:43:00,55,156
16/12/2020,23:48:00,55,156
16/12/2020,23:53:00,56,156
16/12/2020,23:58:00,56,156
17/12/2020,0:03:00,57,156
17/12/2020,0:08:00,57,156
17/12/2020,0:13:00,57,155
17/12/2020,0:18:00,57,156
17/12/2020,0:23:00,57,156
17/12/2020,0:28:00,57,156
17/12/2020,0:33:00,57,156
17/12/2020,0:38:00,57,156
17/12/2020,0:43:00,57,156
17/12/2020,0:48:00,57,156
17/12/2020,0:53:00,57,155
17/12/2020,0:58:00,57,156
17/12/2020,1:03:00,57,156
17/12/2020,1:08:00,57,155
17/12/2020,1:13:00,57,155
17/12/2020,1:18:00,57,156
17/12/2020,1:23:00,57,156
17/12/2020,1:28:00,58,156
17/12/2020,1:33:00,59,156
17/12/2020,1:38:00,59,156
17/12/2020,1:43:00,59,156
17/12/2020,1:48:00,59,156
17/12/2020,1:53:00,59,156
17/12/2020,1:58:00,59,156
17/12/2020,2:03:00,59,156
17/12/2020,2:08:00,59,156
17/12/2020,2:13:00,59,156
17/12/2020,2:18:00,59,156
17/12/2020,2:23:00,60,156
17/12/2020,2:28:00,60,156
17/12/2020,2:33:00,59,156
17/12/2020,2:38:00,60,156
17/12/2020,2:43:00,60,156
17/12/2020,2:48:00,60,156
17/12/2020,2:53:00,59,155
17/12/2020,2:58:00,59,155
17/12/2020,3:03:00,60,156
17/12/2020,3:08:00,60,156
17/12/2020,3:13:00,60,155
17/12/2020,3:18:00,60,156
17/12/2020,3:23:00,60,155
17/12/2020,3:28:00,60,156
17/12/2020,3:33:00,60,156
17/12/2020,3:38:00,60,156
17/12/2020,3:43:00,61,155
17/12/2020,3:48:00,61,155
17/12/2020,3:53:00,62,156
17/12/2020,3:58:00,62,156
17/12/2020,4:03:00,61,156
17/12/2020,4:08:00,61,156
17/12/2020,4:13:00,62,156
17/12/2020,4:18:00,62,155
17/12/2020,4:23:00,61,155
17/12/2020,4:28:00,62,156
17/12/2020,4:33:00,62,156
17/12/2020,4:38:00,62,155
17/12/2020,4:43:00,63,155
17/12/2020,4:48:00,63,155
17/12/2020,4:53:00,63,155
17/12/2020,4:58:00,62,155
17/12/2020,5:03:00,63,155
17/12/2020,5:08:00,63,155
17/12/2020,5:13:00,62,155
17/12/2020,5:18:00,62,155
17/12/2020,5:23:00,62,155
17/12/2020,5:28:00,63,155
17/12/2020,5:33:00,63,155
17/12/2020,5:38:00,63,155
17/12/2020,5:43:00,63,155
17/12/2020,5:48:00,63,155
17/12/2020,5:53:00,63,155
17/12/2020,5:58:00,63,155
17/12/2020,6:03:00,64,155
17/12/2020,6:08:00,63,155
17/12/2020,6:13:00,63,155
17/12/2020,6:18:00,64,155
17/12/2020,6:23:00,65,155
17/12/2020,6:28:00,65,155
17/12/2020,6:33:00,65,155
17/12/2020,6:38:00,65,155
17/12/2020,6:43:00,66,155
17/12/2020,6:48:00,65,156
17/12/2020,6:53:00,65,156
17/12/2020,6:58:00,65,155
17/12/2020,7:03:00,66,155
17/12/2020,7:08:00,66,155
17/12/2020,7:13:00,66,155
17/12/2020,7:18:00,65,156
17/12/2020,7:23:00,65,155
17/12/2020,7:28:00,66,155
17/12/2020,7:33:00,65,156
17/12/2020,7:38:00,65,155
17/12/2020,7:43:00,66,156
17/12/2020,7:48:00,66,155
17/12/2020,7:53:00,67,155
17/12/2020,7:58:00,66,155
17/12/2020,8:03:00,67,155
17/12/2020,8:08:00,66,155
17/12/2020,8:13:00,71,155
17/12/2020,8:18:00,72,155
17/12/2020,8:23:00,71,155
17/12/2020,8:28:00,72,155
17/12/2020,8:33:00,72,155
17/12/2020,8:38:00,72,155
17/12/2020,8:43:00,71,156
17/12/2020,8:48:00,72,156
17/12/2020,8:53:00,72,155
17/12/2020,8:58:00,72,156
17/12/2020,9:03:00,72,155
17/12/2020,9:08:00,73,155
17/12/2020,9:13:00,73,155
17/12/2020,9:18:00,73,155
17/12/2020,9:23:00,73,156
17/12/2020,9:28:00,72,156
17/12/2020,9:33:00,73,155
17/12/2020,9:38:00,74,155
17/12/2020,9:43:00,74,155
17/12/2020,9:48:00,73,155
17/12/2020,9:53:00,74,156
17/12/2020,9:58:00,74,155
17/12/2020,10:03:00,74,156
17/12/2020,10:08:00,74,155
17/12/2020,10:13:00,74,155
17/12/2020,10:18:00,74,155
17/12/2020,10:23:00,18,160
17/12/2020,10:28:00,45,197
17/12/2020,10:33:00,55,186
17/12/2020,10:38:00,59,175
17/12/2020,10:43:00,59,168
17/12/2020,10:48:00,54,119
17/12/2020,10:53:00,39,118
17/12/2020,10:58:00,31,117
17/12/2020,11:03:00,22,116
17/12/2020,11:08:00,15,115
17/12/2020,11:13:00,9,116
17/12/2020,11:18:00,4,117
17/12/2020,11:23:00,1,118
17/12/2020,11:28:00,73,117
17/12/2020,11:33:00,7,129
17/12/2020,11:38:00,27,138
17/12/2020,11:43:00,46,144
17/12/2020,11:48:00,64,149
17/12/2020,11:53:00,82,153
17/12/2020,11:58:00,95,157
17/12/2020,12:03:00,9,160
17/12/2020,12:08:00,21,163
17/12/2020,12:13:00,31,166
17/12/2020,12:18:00,40,168
17/12/2020,12:23:00,1,173
17/12/2020,12:28:00,90,170
17/12/2020,12:33:00,79,169
17/12/2020,12:38:00,67,167
17/12/2020,12:43:00,58,166
17/12/2020,12:48:00,58,164
17/12/2020,12:53:00,30,72
17/12/2020,12:58:00,21,58
17/12/2020,13:03:00,26,54
17/12/2020,13:08:00,24,52
17/12/2020,13:13:00,23,52
17/12/2020,13:18:00,29,51
17/12/2020,13:23:00,30,50
17/12/2020,13:28:00,31,50
17/12/2020,13:33:00,29,50
17/12/2020,13:38:00,25,50
17/12/2020,13:43:00,41,70
17/12/2020,13:48:00,64,82
17/12/2020,13:53:00,72,87
17/12/2020,13:58:00,73,90
17/12/2020,14:03:00,71,93
17/12/2020,14:08:00,67,97
17/12/2020,14:13:00,69,96
17/12/2020,14:18:00,67,98
17/12/2020,14:23:00,65,100
17/12/2020,14:28:00,62,101
17/12/2020,14:33:00,58,103
17/12/2020,14:38:00,55,104
17/12/2020,14:43:00,50,105
17/12/2020,14:48:00,46,106
17/12/2020,14:53:00,42,107
17/12/2020,14:58:00,39,109
17/12/2020,15:03:00,34,109
17/12/2020,15:08:00,31,110
17/12/2020,15:13:00,27,111
17/12/2020,15:18:00,24,112
17/12/2020,15:23:00,21,112
17/12/2020,15:28:00,17,113
17/12/2020,15:33:00,15,113
17/12/2020,15:38:00,12,114
17/12/2020,15:43:00,8,114
17/12/2020,15:48:00,7,114
17/12/2020,15:53:00,4,114
17/12/2020,15:58:00,1,114
17/12/2020,16:03:00,98,115
17/12/2020,16:08:00,96,114
17/12/2020,16:13:00,94,115
17/12/2020,16:18:00,92,115
17/12/2020,16:23:00,90,115
17/12/2020,16:28:00,87,115
17/12/2020,16:33:00,84,115
17/12/2020,16:38:00,82,115
17/12/2020,16:43:00,80,115
17/12/2020,16:48:00,77,115
17/12/2020,16:53:00,75,115
17/12/2020,16:58:00,73,115
17/12/2020,17:03:00,72,115
17/12/2020,17:08:00,71,115
17/12/2020,17:13:00,68,115
17/12/2020,17:18:00,67,116
17/12/2020,17:23:00,65,115
17/12/2020,17:28:00,61,119
17/12/2020,17:33:00,61,120
17/12/2020,17:38:00,58,119
17/12/2020,17:43:00,46,118
17/12/2020,17:48:00,39,118
17/12/2020,17:53:00,28,118
17/12/2020,17:58:00,19,119
17/12/2020,18:03:00,12,120
17/12/2020,18:08:00,6,120
17/12/2020,18:13:00,1,122
